Mode,Time,MonsterMaxHp,CDTLevel,TTTLevel,ObstacleAppearance
2,300,300,15,25,20
GtecTime,UnityTimeTicks,GameEvent,MoveLeft,MoveRight,ButtonDown,ButtonUp,PlayerPosition,GetTarget,TargetPosition,Attackable,Attack,MonsterColorId,TargetColorId,AvoidObstacle,ObstaclePosition,MonsterColorChange,GetScore,MonsterId,MonsterHpPercent,CDTAccuracy,CDTLevel,TimeWindow,TTTAccuracy,TTTLevel,Speed,Distance,Score
0,637596181116372879,StartGame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0,25,15.5,10,0
0,637596181116422746,SpawnedMonster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,637596181187287541,MoveLeftKeyDown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,637596181188633956,MoveLeftKeyUp,1,0,0,1,-2.706261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,637596181191695763,MissTarget,0,0,0,0,-2.998541,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1
0,637596181195845352,GetTarget,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4
0,637596181197580689,MoveLeftKeyDown,1,0,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,637596181198576277,MoveLeftKeyUp,1,0,0,1,-5.453411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,637596181202277867,GetTarget,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9
0,637596181203065755,ChangePlayerColor,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,637596181205429444,MoveRightKeyDown,0,1,1,0,-5.999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,637596181206167457,MoveRightKeyUp,0,1,0,1,-3.801929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,637596181208690714,GetTarget,0,0,0,0,0,1,0,0,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,14
0,637596181210196694,AvoidResponse,0,0,0,0,0,0,0,-1,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,19
0,637596181217546375,AvoidObstacle,0,0,0,0,-3,0,0,0,0,0,0,1,-6,0,5,0,0,0,0,0,0,0,0,0,24
0,637596181221565633,GetTarget,0,0,0,0,0,1,0,0,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,29
0,637596181224607509,MoveRightKeyDown,0,1,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
0,637596181225933952,MoveRightKeyUp,0,1,0,1,-0.3096468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
0,637596181228038336,GetTarget,0,0,0,0,0,1,0,0,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,34
0,637596181230352134,ChangePlayerColor,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34
0,637596181231349470,MoveRightKeyDown,0,1,1,0,-3.089601E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
0,637596181232466493,MoveRightKeyUp,0,1,0,1,2.567315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
0,637596181234590812,GetTarget,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,39
0,637596181237493044,AvoidResponse,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,44
0,637596181237901956,MoveLeftKeyDown,1,0,1,0,2.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
0,637596181239228403,MoveLeftKeyUp,1,0,0,1,0.3129393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
0,637596181243179569,MoveRightKeyDown,0,1,1,0,0.0003628071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
0,637596181243369063,AvoidObstacle,0,0,0,0,1.01205,0,0,0,0,0,0,1,6,0,5,0,0,0,0,0,0,0,0,0,49
0,637596181244525971,MoveRightKeyUp,0,1,0,1,2.69261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
0,637596181247478069,GetTarget,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,54
0,637596181249891616,MoveLeftKeyDown,1,0,1,0,3.000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
0,637596181250809167,MoveLeftKeyUp,1,0,0,1,0.5266854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
0,637596181252783892,ChangePlayerColor,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,54
0,637596181253915164,GetTarget,0,0,0,0,0,1,0,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,59
0,637596181256448407,MoveRightKeyDown,0,1,1,0,1.362426E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
0,637596181257583867,MoveRightKeyUp,0,1,0,1,2.594311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
0,637596181259787978,Attack,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
0,637596181259837847,ResponseToRightColor,0,0,0,0,0,0,0,1,1,3,4,0,0,0,10,1,93.33334,0,0,0,0,0,0,0,69
0,637596181260386384,GetTarget,0,0,0,0,0,1,0,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,74
0,637596181266011340,MoveRightKeyDown,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
0,637596181266888993,GetTarget,0,0,0,0,0,1,0,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,79
0,637596181267158279,MoveRightKeyUp,0,1,0,1,5.68021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
0,637596181272120954,MoveLeftKeyDown,1,0,1,0,5.999931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
0,637596181273247946,GetTarget,0,0,0,0,0,1,0,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,84
0,637596181273906172,MoveLeftKeyUp,1,0,0,1,3.139369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
0,637596181274150624,ChangePlayerColor,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,84
0,637596181275895950,MoveLeftKeyDown,1,0,1,0,3.004927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
0,637596181277262305,MoveLeftKeyUp,1,0,0,1,0.2913417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
0,637596181279695800,GetTarget,0,0,0,0,0,1,0,0,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,89
0,637596181281261604,AvoidResponse,0,0,0,0,0,0,0,-1,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,94
0,637596181283106678,MoveLeftKeyDown,1,0,1,0,1.339168E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
0,637596181284540448,MoveLeftKeyUp,1,0,0,1,-2.744393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
0,637596181286116247,GetTarget,0,0,0,0,0,1,0,0,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,99
0,637596181291768784,MoveLeftKeyDown,1,0,1,0,-2.999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
0,637596181292696292,GetTarget,0,0,0,0,0,1,0,0,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,104
