Mode,Time,MonsterMaxHp,PlayerSpeed,NumberOfColor,ObstacleAppearance,TargetDistance,AdaptiveToggle,ThresholdPoint
1,300,300,7,3,20,6,true,80
GtecTime,UnityTime,GameEvent,MoveLeft,MoveRight,ButtonDown,ButtonUp,PlayerPosition,GetTarget,TargetPosition,Attackable,Attack,MonsterColorId,TargetColorId,AvoidObstacle,ObstaclePosition,MonsterColorChange,GetScore,MonsterId,MonsterHpPercent,CDTAccuracy,CDTLevel,TimeWindow,TTTAccuracy,TTTLevel,Speed,Score
0,17-01-47.004,StartGame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,9.000003,0
0,17-01-47.009,SpawnedMonster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,17-01-52.006,MonsterChangeColor,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,17-01-52.693,MoveLeftKeyDown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17-01-52.848,MoveLeftKeyUp,1,0,0,1,-1.498726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17-01-53.512,GetTarget,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17-01-53.783,ResponseToWrongColor,0,0,0,0,0,0,0,-1,1,3,3,0,0,0,-10,1,100,0,0,0,0,0,0,-10
0,17-01-54.113,MoveRightKeyDown,0,1,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10
0,17-01-54.325,MoveRightKeyUp,0,1,0,1,-1.095541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10
0,17-01-54.522,GetTarget,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-10
0,17-01-54.955,MoveRightKeyDown,0,1,1,0,-9.779353E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10
0,17-01-55.040,MonsterChangeColor,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-10
0,17-01-55.125,MoveRightKeyUp,0,1,0,1,1.540959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10
0,17-01-55.325,AvoidResponse,0,0,0,0,0,0,0,-1,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,-5
0,17-01-55.515,GetTarget,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,-5
0,17-01-55.830,ResponseToRightColor,0,0,0,0,0,0,0,1,1,1,3,0,0,0,10,1,93.33334,0,0,0,0,0,0,5
0,17-01-56.259,MoveRightKeyDown,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,17-01-56.451,MoveRightKeyUp,0,1,0,1,4.738854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,17-01-56.560,GetTarget,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5
0,17-01-56.885,ResponseToRightColor,0,0,0,0,0,0,0,1,1,1,2,0,0,0,10,1,86.66666,0,0,0,0,0,0,15
0,17-01-57.173,MoveLeftKeyDown,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0,17-01-57.376,MoveLeftKeyUp,1,0,0,1,4.156186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0,17-01-57.529,GetTarget,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,15
0,17-01-57.923,ResponseToRightColor,0,0,0,0,0,0,0,1,1,1,3,0,0,0,10,1,80,0,0,0,0,0,0,25
0,17-01-58.071,MonsterChangeColor,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,25
0,17-01-58.211,MoveLeftKeyDown,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
