Time,MonsterMaxHp,PlayerSpeed,NumberOfColor,ObstacleAppearance,TargetDistance,AdaptiveToggle,ThresholdPoint,ConnectToGtecToggle
300,300,7,3,20,6,false,80,false
GtecTime,UnityTime,GameEvent,MoveLeft,MoveRight,ButtonDown,ButtonUp,PlayerPosition,GetTarget,TargetPosition,Attackable,Attack,MonsterColorId,TargetColorId,AvoidObstacle,ObstaclePosition,MonsterColorChange,GetScore,MonsterId,MonsterHpPercent,Score
0,18-20-17.355,StartGame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18-20-22.366,MonsterChangeColor,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,18-20-22.956,MoveRightKeyDown,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18-20-23.144,MoveRightKeyUp,0,1,0,1,1.323409,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18-20-23.330,MoveRightKeyDown,0,1,1,0,2.656332,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18-20-23.463,MoveRightKeyUp,0,1,0,1,3.605688,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18-20-23.866,GetTarget,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0
0,18-20-24.195,ResponseToRightColor,0,0,0,0,0,0,0,1,1,1,2,0,0,0,10,0,93.33334,10
0,18-20-25.230,AvoidObstacle,0,0,0,0,6,0,0,0,0,0,0,1,3,0,0,0,0,10
0,18-20-25.397,MonsterChangeColor,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,10
0,18-20-25.582,GetTarget,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,10
0,18-20-25.606,ResponseToWrongColor,0,0,0,0,0,0,0,-1,1,2,2,0,0,0,-10,0,96.66666,0
0,18-20-25.994,MoveLeftKeyDown,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18-20-26.088,MissTarget,0,0,0,0,5.221245,-1,6,0,0,0,0,0,0,0,-5,0,0,-5
0,18-20-26.206,MoveLeftKeyUp,1,0,0,1,4.552318,0,0,0,0,0,0,0,0,0,0,0,0,-5
0,18-20-26.433,GetTarget,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,-5
0,18-20-26.949,LateResponse,0,0,0,0,0,0,0,1,0,2,1,0,0,0,-10,0,0,-15
0,18-20-27.789,MissTarget,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,-5,0,0,-20
0,18-20-28.145,GetTarget,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,-20
0,18-20-28.429,MonsterChangeColor,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,-20
0,18-20-28.650,MissTarget,0,0,0,0,3,-1,3,0,0,0,0,0,0,0,-5,0,0,-25
0,18-20-28.654,AvoidResponse,0,0,0,0,0,0,0,-1,0,2,2,0,0,0,5,0,0,-20
0,18-20-29.523,AvoidObstacle,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,-20
0,18-20-30.377,MissTarget,0,0,0,0,3,-1,-3,0,0,0,0,0,0,0,-5,0,0,-25
0,18-20-31.234,MissTarget,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,-5,0,0,-30
0,18-20-31.449,MonsterChangeColor,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,-30
0,18-20-32.090,MissTarget,0,0,0,0,3,-1,-3,0,0,0,0,0,0,0,-5,0,0,-35
0,18-20-32.934,AvoidObstacle,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,-35
0,18-20-33.793,MissTarget,0,0,0,0,3,-1,-3,0,0,0,0,0,0,0,-5,0,0,-40
0,18-20-34.478,MonsterChangeColor,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-40
0,18-20-34.662,MissTarget,0,0,0,0,3,-1,-6,0,0,0,0,0,0,0,-5,0,0,-45
0,18-20-35.509,MissTarget,0,0,0,0,3,-1,-3,0,0,0,0,0,0,0,-5,0,0,-50
0,18-20-36.374,MissTarget,0,0,0,0,3,-1,-6,0,0,0,0,0,0,0,-5,0,0,-55
0,18-20-37.227,MissTarget,0,0,0,0,3,-1,-3,0,0,0,0,0,0,0,-5,0,0,-60
0,18-20-37.512,MonsterChangeColor,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,-60
0,18-20-38.079,MissTarget,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,-5,0,0,-65
0,18-20-38.934,AvoidObstacle,0,0,0,0,3,0,0,0,0,0,0,1,-3,0,0,0,0,-65
0,18-20-39.789,MissTarget,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,-5,0,0,-70
0,18-20-40.546,MonsterChangeColor,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,-70
0,18-20-40.650,AvoidObstacle,0,0,0,0,3,0,0,0,0,0,0,1,-3,0,0,0,0,-70
0,18-20-41.508,MissTarget,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,-5,0,0,-75
0,18-20-41.871,GetTarget,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,-75
0,18-20-42.372,MissTarget,0,0,0,0,3,-1,3,0,0,0,0,0,0,0,-5,0,0,-80
0,18-20-42.377,LateResponse,0,0,0,0,0,0,0,1,0,3,1,0,0,0,-10,0,0,-90
0,18-20-43.229,MissTarget,0,0,0,0,3,-1,6,0,0,0,0,0,0,0,-5,0,0,-95
0,18-20-43.556,GetTarget,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,-95
0,18-20-43.583,MonsterChangeColor,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-95
0,18-20-44.072,LateResponse,0,0,0,0,0,0,0,1,0,3,2,0,0,0,-10,0,0,-105
0,18-20-44.932,MissTarget,0,0,0,0,3,-1,6,0,0,0,0,0,0,0,-5,0,0,-110
0,18-20-45.272,HitObstacle,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-10,0,0,-120
0,18-20-45.804,AvoidObstacle,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,-120
0,18-20-46.621,MonsterChangeColor,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,-120
0,18-20-46.646,MissTarget,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,-5,0,0,-125
0,18-20-47.004,GetTarget,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,-125
0,18-20-47.518,LateResponse,0,0,0,0,0,0,0,1,0,3,2,0,0,0,-10,0,0,-135
0,18-20-48.384,MissTarget,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,-5,0,0,-140
0,18-20-48.687,HitObstacle,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-10,0,0,-150
0,18-20-49.233,AvoidObstacle,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,-150
0,18-20-49.641,MonsterChangeColor,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-150
0,18-20-50.078,MissTarget,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,-5,0,0,-155
