Mode,Time,MonsterMaxHp,PlayerSpeed,NumberOfColor,ObstacleAppearance,TargetDistance,AdaptiveToggle,ThresholdPoint
1,300,300,7,3,20,6,true,80
GtecTime,UnityTime,GameEvent,MoveLeft,MoveRight,ButtonDown,ButtonUp,PlayerPosition,GetTarget,TargetPosition,Attackable,Attack,MonsterColorId,TargetColorId,AvoidObstacle,ObstaclePosition,MonsterColorChange,GetScore,MonsterId,MonsterHpPercent,CDTAccuracy,CDTLevel,TimeWindow,TTTAccuracy,TTTLevel,Speed,Score
0,17-04-25.346,StartGame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,9.000003,0
0,17-04-25.351,SpawnedMonster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,17-04-30.353,MonsterChangeColor,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,17-04-32.259,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-5
0,17-04-32.279,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-10
0,17-04-32.299,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-15
0,17-04-32.329,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-20
0,17-04-32.355,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-25
0,17-04-32.375,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-30
0,17-04-32.394,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-35
0,17-04-32.413,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-40
0,17-04-32.433,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-45
0,17-04-32.452,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-50
0,17-04-32.470,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-55
0,17-04-32.490,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-60
0,17-04-32.509,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-65
0,17-04-32.529,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-70
0,17-04-32.551,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-75
0,17-04-32.573,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-80
0,17-04-32.592,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-85
0,17-04-32.611,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-90
0,17-04-32.632,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-95
0,17-04-32.651,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-100
0,17-04-32.671,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-105
0,17-04-32.696,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-110
0,17-04-32.720,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-115
0,17-04-32.743,MissTarget,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-120
0,17-04-33.253,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-125
0,17-04-33.272,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-130
0,17-04-33.291,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-135
0,17-04-33.310,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-140
0,17-04-33.330,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-145
0,17-04-33.352,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-150
0,17-04-33.374,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-155
0,17-04-33.394,MonsterChangeColor,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,-155
0,17-04-33.397,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-160
0,17-04-33.417,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-165
0,17-04-33.436,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-170
0,17-04-33.462,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-175
0,17-04-33.482,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-180
0,17-04-33.504,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-185
0,17-04-33.527,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-190
0,17-04-33.546,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-195
0,17-04-33.567,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-200
0,17-04-33.585,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-205
0,17-04-33.605,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-210
0,17-04-33.625,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-215
0,17-04-33.645,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-220
0,17-04-33.669,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-225
0,17-04-33.692,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-230
0,17-04-33.713,MissTarget,0,0,0,0,0,-1,-6,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,-235
